,okt_noun,okt_verb
128,"['수능', '친구', '시간', '수능', '할인', '놀이', '공원', '가기', '그때', '코로나', '못', '기억', '이제', '위드', '코로나']","['끝나고', '잡아서', '했는데', '딱', '심각해지면서', '갔던', '신나게', '놀러', '다니세요']"
129,"['월', '관련', '월', '일', '월간', '고용', '및', '월', '일', '소비자', '물가', '지수', '중요성', '외환시장', '각각', '이벤트', '사전', '달러화', '매수', '대응', '가능성', '단계', '일상', '회복', '과정', '유럽', '등지', '방역', '상황', '악화', '달러화', '매수', '심리', '힘', '보탤', '것', '사료']","['미', '높아졌음', '앞두고', '할', '높음', '됨']"
130,"['설마', '정말', '위드', '코로나', '거', '저기', '저', '콘썰', '가야']","['끝내는', '아니지', '돼요']"
131,"['위드', '코로나', '유럽', '다시', '봉쇄', '조치', '태국', '답', '그', '와중', '오프', '행사', '다시', '대면', '콘서트', '거', '뮤', '수파', '싯', '마스크', '외모']","['그렇죠', '들어가고', '없는데', '하고', '할', '같고', '언능', '뚫고', '나오는', '미친', '봐야', '하는데']"
132,"['위드', '코로나', '게', '엄마', '스케줄', '거', '집', '밥', '다시금']","['느는', '보니', '느껴지네', '이렇게', '멀어지고']"
133,"['단계', '일상', '회복', '중단', '여부', '내일', '발표', '오르콘', '타이밍', '관', '참전', '왜', '티켓팅', '안', '왈왈', '사실', '거', '함', '안', '수도', '나름', '백신', '완료', '자만', '입장', '박수만', '허용']","['아니', '근데', '한다는데', '오졌은대', '해놓고', '띄우냐고', '댔던거', '미안해', '가는', '무섭긴', '근데', '갈', '없고', '조심해야지']"
134,"['위드', '코로나', '시대', '비대', '학습', '시스템', '알짜', '배기', '계시록', '말씀', '집합', '계시록', '시청', '마지막', '나팔', '소리', '신천지', '온라인', '세미나', '전', '세계', '최초', '요한계시록', '전장', '예언', '성취', '증거', '무료', '성경공부', '신청', '번호']","['맞는', '하기']"
135,"['이제', '백신', '패스', '능동', '걸']","['있어서', '감시였던']"
136,"['내일', '당분간', '오픈', '시간', '시로', '조정', '월', '월', '다음', '날', '월부', '터', '분', '시', '영업', '위드', '코로나', '기도', '여러', '가지', '상황', '시간대', '조정']","['됩니다', '늦은', '하겠습니다', '조금씩', '풀리', '하고', '봐서', '하도록', '할게요']"
137,"['시발', '게다', '위드', '코로나', '때문', '그냥']",['디져']
138,"['위드', '코로나']",['하자매']
